UID,Authors,PubDate(Year),PubDate(Month),Title,Summary
12389778,"Sánchez-Martos F, Pulido-Bosch A, Molina-Sánchez L, Vallejos-Izquierdo A",2002,Oct,"Identification of the origin of salinization in groundwater using minor ions (Lower Andarax, Southeast Spain).","Sánchez-Martos F, Pulido-Bosch A, Molina-Sánchez L, Vallejos-Izquierdo A.Identification of the origin of salinization in groundwater using minor ions (Lower Andarax, Southeast Spain). Sci Total Environ. 2002 Oct 7; 297(1-3):43-58. "
12475481,"Smith JA, Bartelt-Hunt SL, Burns SE",2003,Jan,Sorption and permeability of gasoline hydrocarbons in organobentonite porous media.,"Smith JA, Bartelt-Hunt SL, Burns SE.Sorption and permeability of gasoline hydrocarbons in organobentonite porous media. J Hazard Mater. 2003 Jan 3; 96(1):91-7. "
12487415,"Hunkeler D, Höhener P, Zeyer J",2002,Dec,Engineered and subsequent intrinsic in situ bioremediation of a diesel fuel contaminated aquifer.,"Hunkeler D, Höhener P, Zeyer J.Engineered and subsequent intrinsic in situ bioremediation of a diesel fuel contaminated aquifer. J Contam Hydrol. 2002 Dec; 59(3-4):231-45. "
12504360,"Shouakar-Stash O, Frape SK, Drimmie RJ",2003,Feb,"Stable hydrogen, carbon and chlorine isotope measurements of selected chlorinated organic solvents.","Shouakar-Stash O, Frape SK, Drimmie RJ.Stable hydrogen, carbon and chlorine isotope measurements of selected chlorinated organic solvents. J Contam Hydrol. 2003 Feb; 60(3-4):211-28. "
12504361,"Schirmer M, Butler BJ, Church CD, Barker JF, Nadarajah N",2003,Feb,Laboratory evidence of MTBE biodegradation in Borden aquifer material.,"Schirmer M, Butler BJ, Church CD, Barker JF, Nadarajah N.Laboratory evidence of MTBE biodegradation in Borden aquifer material. J Contam Hydrol. 2003 Feb; 60(3-4):229-49. "
12598115,"Sardini P, Delay F, Hellmuth KH, Porel G, Oila E",2003,Mar,Interpretation of out-diffusion experiments on crystalline rocks using random walk modeling.,"Sardini P, Delay F, Hellmuth KH, Porel G, Oila E.Interpretation of out-diffusion experiments on crystalline rocks using random walk modeling. J Contam Hydrol. 2003 Mar; 61(1-4):339-50. "
12636080,"Stadler H, Skritek P",2003,,Remote water quality monitoring 'on-line' using LEO satellites.,"Stadler H, Skritek P.Remote water quality monitoring on-line' using LEO satellites. Water Sci Technol. 2003; 47(2):197-204. "
12674397,Tsao DT,2003,,Overview of phytotechnologies.,Tsao DT.Overview of phytotechnologies. Adv Biochem Eng Biotechnol. 2003; 78:1-50. 
12676483,"Wycisk P, Weiss H, Kaschl A, Heidrich S, Sommerwerk K",2003,Apr,"Groundwater pollution and remediation options for multi-source contaminated aquifers (Bitterfeld/Wolfen, Germany).","Wycisk P, Weiss H, Kaschl A, Heidrich S, Sommerwerk K.Groundwater pollution and remediation options for multi-source contaminated aquifers (Bitterfeld/Wolfen, Germany). Toxicol Lett. 2003 Apr 11; 140-141:343-51. "
12812256,"Horton JL, Hart SC, Kolb TE",2003,Mar,"Physiological condition and water source use of Sonoran Desert riparian trees at the Bill Williams River, Arizona, USA.","Horton JL, Hart SC, Kolb TE.Physiological condition and water source use of Sonoran Desert riparian trees at the Bill Williams River, Arizona, USA. Isotopes Environ Health Stud. 2003 Mar; 39(1):69-82. "
12952428,"Martinez Galera M, Gil Garcia MD, Rodriguez Lallena JA, Lopez Lopez T, Martinez Vidal JL",2003,Sep,"Dissipation of pyrethroid residues in peppers, zucchinis, and green beans exposed to field treatments in greenhouses: evaluation by decline curves.","Martinez Galera M, Gil Garcia MD, Rodriguez Lallena JA, Lopez Lopez T, Martinez Vidal JL.Dissipation of pyrethroid residues in peppers, zucchinis, and green beans exposed to field treatments in greenhouses: evaluation by decline curves. J Agric Food Chem. 2003 Sep 10; 51(19):5745-51. "
13374533,"BUCHAN S, KEY A",1956,,Pollution of ground water in Europe.,"BUCHAN S, KEY A.Pollution of ground water in Europe. Bull World Health Organ. 1956; 14(5-6):949-1006. "
14527447,"Bartelt-Hunt SL, Burns SE, Smith JA",2003,Oct,Nonionic organic solute sorption onto two organobentonites as a function of organic-carbon content.,"Bartelt-Hunt SL, Burns SE, Smith JA.Nonionic organic solute sorption onto two organobentonites as a function of organic-carbon content. J Colloid Interface Sci. 2003 Oct 15; 266(2):251-8. "
15006793,"Fuller ME, Mailloux BJ, Streger SH, Hall JA, Zhang P, Kovacik WP, Vainberg S, Johnson WP, Onstott TC, DeFlaun MF",2004,Mar,"Application of a vital fluorescent staining method for simultaneous, near-real-time concentration monitoring of two bacterial strains in an Atlantic coastal plain aquifer in Oyster, Virginia.","Fuller ME, Mailloux BJ, Streger SH, Hall JA, Zhang P, Kovacik WP, Vainberg S, Johnson WP, Onstott TC, DeFlaun MF.Application of a vital fluorescent staining method for simultaneous, near-real-time concentration monitoring of two bacterial strains in an Atlantic coastal plain aquifer in Oyster, Virginia. Appl Environ Microbiol. 2004 Mar; 70(3):1680-7. "
15035592,"Lubczynski M, Roy J",2004,Mar-Apr,Magnetic resonance sounding: new method for ground water assessment.,"Lubczynski M, Roy J.Magnetic resonance sounding: new method for ground water assessment. Ground Water. 2004 Mar-Apr; 42(2):291-303. "
15035593,"Stephens DB, Ankeny MD",2004,Mar-Apr,A missing link in the historical development of hydrogeology.,"Stephens DB, Ankeny MD.A missing link in the historical development of hydrogeology. Ground Water. 2004 Mar-Apr; 42(2):304-9. "
15074607,"Sánchez López FJ, Gil García MD, Martínez Vidal JL, Aguilera PA, Garrido Frenich A",2004,Apr-May,Assessment of metal contamination in Doñana National Park (Spain) using crayfish (Procamburus clarkii).,"Sánchez López FJ, Gil García MD, Martínez Vidal JL, Aguilera PA, Garrido Frenich A.Assessment of metal contamination in Doñana National Park (Spain) using crayfish (Procamburus clarkii). Environ Monit Assess. 2004 Apr-May; 93(1-3):17-29. "
15144784,"Andersson M, Ottesen RT, Volden T",2004,Jun,"Building materials as a source of PCB pollution in Bergen, Norway.","Andersson M, Ottesen RT, Volden T.Building materials as a source of PCB pollution in Bergen, Norway. Sci Total Environ. 2004 Jun 5; 325(1-3):139-44. "
15161157,"Dowling CB, Poreda RJ, Hunt AG, Carey AE",2004,May-Jun,Ground water discharge and nitrate flux to the Gulf of Mexico.,"Dowling CB, Poreda RJ, Hunt AG, Carey AE.Ground water discharge and nitrate flux to the Gulf of Mexico. Ground Water. 2004 May-Jun; 42(3):401-17. "
15240170,"Brouyère S, Dassargues A, Hallet V",2004,Aug,Migration of contaminants through the unsaturated zone overlying the Hesbaye chalky aquifer in Belgium: a field investigation.,"Brouyère S, Dassargues A, Hallet V.Migration of contaminants through the unsaturated zone overlying the Hesbaye chalky aquifer in Belgium: a field investigation. J Contam Hydrol. 2004 Aug; 72(1-4):135-64. "
15298194,"Olson MS, Ford RM, Smith JA, Fernandez EJ",2004,Jul,Quantification of bacterial chemotaxis in porous media using magnetic resonance imaging.,"Olson MS, Ford RM, Smith JA, Fernandez EJ.Quantification of bacterial chemotaxis in porous media using magnetic resonance imaging. Environ Sci Technol. 2004 Jul 15; 38(14):3864-70. "
15318777,"Feyen L, Dessalegn AM, De Smedt F, Gebremeskel S, Batelaan O",2004,Jul-Aug,Application of a Bayesian approach to stochastic delineation of capture zones.,"Feyen L, Dessalegn AM, De Smedt F, Gebremeskel S, Batelaan O.Application of a Bayesian approach to stochastic delineation of capture zones. Ground Water. 2004 Jul-Aug; 42(4):542-51. "
15328687,"Nnadi FN, Fulkerson M",2002,Aug,Assessment of groundwater under direct influence of surface water.,"Nnadi FN, Fulkerson M.Assessment of groundwater under direct influence of surface water. J Environ Sci Health A Tox Hazard Subst Environ Eng. 2002 Aug; 37(7):1209-22. "
15336797,"Conant B Jr, Cherry JA, Gillham RW",2004,Sep,A PCE groundwater plume discharging to a river: influence of the streambed and near-river zone on contaminant distributions.,"Conant B Jr, Cherry JA, Gillham RW.A PCE groundwater plume discharging to a river: influence of the streambed and near-river zone on contaminant distributions. J Contam Hydrol. 2004 Sep; 73(1-4):249-79. "
15358494,"Flynn R, Cornaton F, Hunkeler D, Rossi P",2004,Oct,Bacteriophage transport through a fining-upwards sedimentary sequence: laboratory experiments and simulation.,"Flynn R, Cornaton F, Hunkeler D, Rossi P.Bacteriophage transport through a fining-upwards sedimentary sequence: laboratory experiments and simulation. J Contam Hydrol. 2004 Oct; 74(1-4):231-52. "
15438163,ROBAUX A,1950,May,[Hydrogeology and supply of drinking water of the cities of Morocco].,ROBAUX A.[Hydrogeology and supply of drinking water of the cities of Morocco]. Maroc Med. 1950 May; 29(300):405-8. 
15449677,Glukhov AN,2004,Jul-Aug,"[The 100th anniversary of the II All-Russia congress on climatology, hydrogeology and balneology in the Kavkaz Mineral Waters].","Glukhov AN.[The 100th anniversary of the II All-Russia congress on climatology, hydrogeology and balneology in the Kavkaz Mineral Waters]. Vopr Kurortol Fizioter Lech Fiz Kult. 2004 Jul-Aug; (4):47-50. "
15457794,"Thyne G, Güler C, Poeter E",2004,Sep-Oct,Sequential analysis of hydrochemical data for watershed characterization.,"Thyne G, Güler C, Poeter E.Sequential analysis of hydrochemical data for watershed characterization. Ground Water. 2004 Sep-Oct; 42(5):711-23. "
15457804,Fetter CW Jr,2004,Sep-Oct,"Hydrogeology: A short history, Part 1.","Fetter CW Jr.Hydrogeology: A short history, Part 1. Ground Water. 2004 Sep-Oct; 42(5):790-2. "
15464627,"Schirmer M, Butler BJ",2004,Dec,Transport behaviour and natural attenuation of organic contaminants at spill sites.,"Schirmer M, Butler BJ.Transport behaviour and natural attenuation of organic contaminants at spill sites. Toxicology. 2004 Dec 15; 205(3):173-9. "
15473054,"Zhang MX, Zhang LP",2004,Aug,Combinatorial model of solute transport in porous media.,"Zhang MX, Zhang LP.Combinatorial model of solute transport in porous media. J Zhejiang Univ Sci. 2004 Aug; 5(8):966-9. "
15527018,"Joshi H, Ghosh AK, Singhal DC, Kumar S",2003,Oct,"Arsenic contamination in parts of Yamuna sub-basin, West Bengal.","Joshi H, Ghosh AK, Singhal DC, Kumar S.Arsenic contamination in parts of Yamuna sub-basin, West Bengal. Indian J Environ Health. 2003 Oct; 45(4):265-74. "
15584309,Fetter CW Jr,2004,Nov-Dec,"Hydrogeology: a short history, part 2.","Fetter CW Jr.Hydrogeology: a short history, part 2. Ground Water. 2004 Nov-Dec; 42(6-7):949-53. "
15667089,"Olson MS, Ford RM, Smith JA, Fernandez EJ",2005,Jan,Analysis of column tortuosity for MnCl2 and bacterial diffusion using magnetic resonance imaging.,"Olson MS, Ford RM, Smith JA, Fernandez EJ.Analysis of column tortuosity for MnCl2 and bacterial diffusion using magnetic resonance imaging. Environ Sci Technol. 2005 Jan 1; 39(1):149-54. "
15726928,"Cherkauer DS, Ansari SA",2005,Jan-Feb,"Estimating ground water recharge from topography, hydrogeology, and land cover.","Cherkauer DS, Ansari SA.Estimating ground water recharge from topography, hydrogeology, and land cover. Ground Water. 2005 Jan-Feb; 43(1):102-12. "
15748052,"Hassan AN, Kenawy MA, Kamal H, Abdel Sattar AA, Sowilem MM",2003,Jul,GIS-based prediction of malaria risk in Egypt.,"Hassan AN, Kenawy MA, Kamal H, Abdel Sattar AA, Sowilem MM.GIS-based prediction of malaria risk in Egypt. East Mediterr Health J. 2003 Jul; 9(4):548-58. "
15830944,"Ferrer C, Gómez MJ, García-Reyes JF, Ferrer I, Thurman EM, Fernández-Alba AR",2005,Apr,Determination of pesticide residues in olives and olive oil by matrix solid-phase dispersion followed by gas chromatography/mass spectrometry and liquid chromatography/tandem mass spectrometry.,"Ferrer C, Gómez MJ, García-Reyes JF, Ferrer I, Thurman EM, Fernández-Alba AR.Determination of pesticide residues in olives and olive oil by matrix solid-phase dispersion followed by gas chromatography/mass spectrometry and liquid chromatography/tandem mass spectrometry. J Chromatogr A. 2005 Apr 1; 1069(2):183-94. "
15871255,"Prommer H, Stuyfzand PJ",2005,Apr,Identification of temperature-dependent water quality changes during a deep well injection experiment in a pyritic aquifer.,"Prommer H, Stuyfzand PJ.Identification of temperature-dependent water quality changes during a deep well injection experiment in a pyritic aquifer. Environ Sci Technol. 2005 Apr 1; 39(7):2200-9. "
15882321,Tsang CF,2005,May-Jun,Is current hydrogeologic research addressing long-term predictions?,Tsang CF.Is current hydrogeologic research addressing long-term predictions? Ground Water. 2005 May-Jun; 43(3):296-300. 
15882322,"Seaton WJ, Burbey TJ",2005,May-Jun,Influence of ancient thrust faults on the hydrogeology of the Blue Ridge Province.,"Seaton WJ, Burbey TJ.Influence of ancient thrust faults on the hydrogeology of the Blue Ridge Province. Ground Water. 2005 May-Jun; 43(3):301-13. "
15882330,"Brouyère S, Carabin G, Dassargues A",2005,May-Jun,Influence of injection conditions on field tracer experiments.,"Brouyère S, Carabin G, Dassargues A.Influence of injection conditions on field tracer experiments. Ground Water. 2005 May-Jun; 43(3):389-400. "
15882336,Renard P,2005,May-Jun,Approximate discharge for constant head test with recharging boundary.,Renard P.Approximate discharge for constant head test with recharging boundary. Ground Water. 2005 May-Jun; 43(3):439-42. 
15922363,"Hamer K, Karius V",2005,Sep,"Tributyltin release from harbour sediments--modelling the influence of sedimentation, bio-irrigation and diffusion using data from Bremerhaven.","Hamer K, Karius V.Tributyltin release from harbour sediments--modelling the influence of sedimentation, bio-irrigation and diffusion using data from Bremerhaven. Mar Pollut Bull. 2005 Sep; 50(9):980-92. "
16011762,"Farnleitner AH, Wilhartitz I, Ryzinska G, Kirschner AK, Stadler H, Burtscher MM, Hornek R, Szewzyk U, Herndl G, Mach RL",2005,Aug,Bacterial dynamics in spring water of alpine karst aquifers indicates the presence of stable autochthonous microbial endokarst communities.,"Farnleitner AH, Wilhartitz I, Ryzinska G, Kirschner AK, Stadler H, Burtscher MM, Hornek R, Szewzyk U, Herndl G, Mach RL.Bacterial dynamics in spring water of alpine karst aquifers indicates the presence of stable autochthonous microbial endokarst communities. Environ Microbiol. 2005 Aug; 7(8):1248-59. "
16029188,"McCray JE, Kirkland SL, Siegrist RL, Thyne GD",2005,Jul-Aug,Model parameters for simulating fate and transport of on-site wastewater nutrients.,"McCray JE, Kirkland SL, Siegrist RL, Thyne GD.Model parameters for simulating fate and transport of on-site wastewater nutrients. Ground Water. 2005 Jul-Aug; 43(4):628-39. "
16029189,Tóth J,2005,Jul-Aug,The canadian school of hydrogeology: history and legacy.,Tóth J.The canadian school of hydrogeology: history and legacy. Ground Water. 2005 Jul-Aug; 43(4):640-4. 
16038196,"Thurman EM, Ferrer I, Zweigenbaum JA, García-Reyes JF, Woodman M, Fernández-Alba AR",2005,Jul,Discovering metabolites of post-harvest fungicides in citrus with liquid chromatography/time-of-flight mass spectrometry and ion trap tandem mass spectrometry.,"Thurman EM, Ferrer I, Zweigenbaum JA, García-Reyes JF, Woodman M, Fernández-Alba AR.Discovering metabolites of post-harvest fungicides in citrus with liquid chromatography/time-of-flight mass spectrometry and ion trap tandem mass spectrometry. J Chromatogr A. 2005 Jul 29; 1082(1):71-80. "
16144033,"García-Reyes JF, Ferrer I, Thurman EM, Molina-Díaz A, Fernández-Alba AR",2005,,Searching for non-target chlorinated pesticides in food by liquid chromatography/time-of-flight mass spectrometry.,"García-Reyes JF, Ferrer I, Thurman EM, Molina-Díaz A, Fernández-Alba AR.Searching for non-target chlorinated pesticides in food by liquid chromatography/time-of-flight mass spectrometry. Rapid Commun Mass Spectrom. 2005; 19(19):2780-8. "
16149963,"Eckstein Y, Eckstein GE",2005,Sep-Oct,Transboundary aquifers: conceptual models for development of international law.,"Eckstein Y, Eckstein GE.Transboundary aquifers: conceptual models for development of international law. Ground Water. 2005 Sep-Oct; 43(5):679-90. "
16157364,"Andreo B, Goldscheider N, Vadillo I, Vías JM, Neukum C, Sinreich M, Jiménez P, Brechenmacher J, Carrasco F, Hötzl H, Perles MJ, Zwahlen F",2006,Mar,"Karst groundwater protection: First application of a Pan-European Approach to vulnerability, hazard and risk mapping in the Sierra de Líbar (Southern Spain).","Andreo B, Goldscheider N, Vadillo I, Vías JM, Neukum C, Sinreich M, Jiménez P, Brechenmacher J, Carrasco F, Hötzl H, Perles MJ, Zwahlen F.Karst groundwater protection: First application of a Pan-European Approach to vulnerability, hazard and risk mapping in the Sierra de Líbar (Southern Spain). Sci Total Environ. 2006 Mar 15; 357(1-3):54-73. "
16159160,"Frenich AG, Torres ME, Vega AB, Vidal JL, Bolaños PP",2005,Sep,Determination of ascorbic acid and carotenoids in food commodities by liquid chromatography with mass spectrometry detection.,"Frenich AG, Torres ME, Vega AB, Vidal JL, Bolaños PP.Determination of ascorbic acid and carotenoids in food commodities by liquid chromatography with mass spectrometry detection. J Agric Food Chem. 2005 Sep 21; 53(19):7371-6. "
16173553,"Hunkeler D, Aravena R, Berry-Spark K, Cox E",2005,Aug,Assessment of degradation pathways in an aquifer with mixed chlorinated hydrocarbon contamination using stable isotope analysis.,"Hunkeler D, Aravena R, Berry-Spark K, Cox E.Assessment of degradation pathways in an aquifer with mixed chlorinated hydrocarbon contamination using stable isotope analysis. Environ Sci Technol. 2005 Aug 15; 39(16):5975-81. "
16275729,"Puckett LJ, Hughes WB",2005,Nov-Dec,Transport and fate of nitrate and pesticides: hydrogeology and riparian zone processes.,"Puckett LJ, Hughes WB.Transport and fate of nitrate and pesticides: hydrogeology and riparian zone processes. J Environ Qual. 2005 Nov-Dec; 34(6):2278-92. "
16289192,"Bader S, Heister K",2006,May,The effect of membrane potential on the development of chemical osmotic pressure in compacted clay.,"Bader S, Heister K.The effect of membrane potential on the development of chemical osmotic pressure in compacted clay. J Colloid Interface Sci. 2006 May 1; 297(1):329-40. "
16303208,Brouyère S,2006,Jan,"Modelling the migration of contaminants through variably saturated dual-porosity, dual-permeability chalk.","Brouyère S.Modelling the migration of contaminants through variably saturated dual-porosity, dual-permeability chalk. J Contam Hydrol. 2006 Jan 10; 82(3-4):195-219. "
16324016,Perrochet P,2005,Nov-Dec,Confined flow into a tunnel during progressive drilling: an analytical solution.,Perrochet P.Confined flow into a tunnel during progressive drilling: an analytical solution. Ground Water. 2005 Nov-Dec; 43(6):943-6. 
16337641,"Gil García MD, Martínez Galera M, Barranco Martínez D, Gisbert Gallego J",2006,Jan,Determination of benzoylureas in ground water samples by fully automated on-line pre-concentration and liquid chromatography-fluorescence detection.,"Gil García MD, Martínez Galera M, Barranco Martínez D, Gisbert Gallego J.Determination of benzoylureas in ground water samples by fully automated on-line pre-concentration and liquid chromatography-fluorescence detection. J Chromatogr A. 2006 Jan 27; 1103(2):271-7. "
16342789,"Martínez Galera M, Barranco Martínez D, Parrilla Vázquez P, Gil García MD",2005,Nov,Online trace enrichment to determine pyrethroids in river water by HPLC with column switching and photochemical induced fluorescence detection.,"Martínez Galera M, Barranco Martínez D, Parrilla Vázquez P, Gil García MD.Online trace enrichment to determine pyrethroids in river water by HPLC with column switching and photochemical induced fluorescence detection. J Sep Sci. 2005 Nov; 28(17):2259-67. "
